[2025-07-07 12:37:49 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:37:49 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:37:56 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:37:56 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:37:58 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:37:58 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:38:16 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:38:16 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 12:38:18 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/test-gallery/ has been purged, triggered by action: save_post 
[2025-07-07 12:38:18 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 14:55:45 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-07 14:55:53 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-07 19:29:47 : INFO] - Cache for URL: https://www.diezaunprofis.at/?p=2032 has been purged, triggered by action: save_post 
[2025-07-07 19:29:47 : INFO] - Cache for all archives page associated with post_type: post and Title: "Automatisch gespeicherter Entwurf" have been purged, triggered by action: save_post 
[2025-07-07 19:34:38 : INFO] - Cache for URL: https://www.diezaunprofis.at/?post_type=products&p=2028 has been purged, triggered by action: save_post 
[2025-07-07 19:34:38 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-07 19:34:40 : INFO] - Cache for URL: https://www.diezaunprofis.at/?post_type=products&p=2028 has been purged, triggered by action: save_post 
[2025-07-07 19:34:40 : INFO] - Cache for archive page associated with post_type: products and Title: "test gallery" has been purged, triggered by action: save_post 
[2025-07-08 09:08:37 : INFO] - Cache for URL: https://www.diezaunprofis.at/agb/ has been purged, triggered by action: save_post 
[2025-07-08 09:08:39 : INFO] - Cache for URL: https://www.diezaunprofis.at/agb/ has been purged, triggered by action: save_post 
[2025-07-08 09:15:27 : INFO] - Cache for URL: https://www.diezaunprofis.at/contact/cookie-richtlinie/ has been purged, triggered by action: save_post 
[2025-07-08 09:15:29 : INFO] - Cache for URL: https://www.diezaunprofis.at/contact/cookie-richtlinie/ has been purged, triggered by action: save_post 
[2025-07-08 09:20:09 : INFO] - Cache for URL: https://www.diezaunprofis.at/contact/cookie-richtlinie/ has been purged, triggered by action: save_post 
[2025-07-08 09:20:10 : INFO] - Cache for URL: https://www.diezaunprofis.at/contact/cookie-richtlinie/ has been purged, triggered by action: save_post 
[2025-07-08 09:27:14 : INFO] - Cache for URL: https://www.diezaunprofis.at/datenschutzerklaerung/ has been purged, triggered by action: save_post 
[2025-07-08 09:27:15 : INFO] - Cache for URL: https://www.diezaunprofis.at/datenschutzerklaerung/ has been purged, triggered by action: save_post 
[2025-07-08 09:27:36 : INFO] - Cache for URL: https://www.diezaunprofis.at/datenschutzerklaerung/ has been purged, triggered by action: save_post 
[2025-07-08 09:27:38 : INFO] - Cache for URL: https://www.diezaunprofis.at/datenschutzerklaerung/ has been purged, triggered by action: save_post 
[2025-07-08 09:29:12 : INFO] - Cache for URL: https://www.diezaunprofis.at/datenschutzerklaerung/ has been purged, triggered by action: save_post 
[2025-07-08 09:29:13 : INFO] - Cache for URL: https://www.diezaunprofis.at/datenschutzerklaerung/ has been purged, triggered by action: save_post 
[2025-07-08 09:39:54 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/doppelstabmattenzaun-goliath-8-6-8-mm/ has been purged, triggered by action: save_post 
[2025-07-08 09:39:54 : INFO] - Cache for archive page associated with post_type: products and Title: "Doppelstabmattenzaun Goliath 8/6/8 mm" has been purged, triggered by action: save_post 
[2025-07-08 09:39:56 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/doppelstabmattenzaun-goliath-8-6-8-mm/ has been purged, triggered by action: save_post 
